index,StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
1874293,MagnoliaBridge,"(47.633454, -122.387341)",06/18/2014 09:00:00 PM,793076,72.27,62.94
30894290,SpokaneSwingBridge,"(47.571389, -122.351743)",04/04/2018 08:47:00 AM,2735118,46.67,49.64
10630028,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",12/16/2015 08:51:00 AM,572854,39.45,41.17
11716872,AlbroPlaceAirportWay,"(47.547426, -122.314114)",01/12/2016 10:43:00 PM,900457,43.35,47.59
7174096,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",06/09/2015 02:17:00 AM,193572,71.75,71.75
4193822,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",12/28/2014 08:32:00 AM,64514,40.58,40.82
19636704,AuroraBridge,"(47.643174, -122.347278)",01/23/2017 08:09:00 AM,2130865,38.77,36.88
22209914,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",06/02/2017 02:33:00 AM,1342724,63.08,66.11
25976175,AuroraBridge,"(47.643174, -122.347278)",08/16/2017 02:21:00 PM,2426375,82.5,74.94
23638869,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",06/18/2017 12:59:00 PM,2404763,67.46,67.46
5489180,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",03/10/2015 10:21:00 PM,1208686,55.4,55.4
7936077,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",07/24/2015 07:24:00 AM,1403629,68.63,68.63
24232596,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",07/03/2017 06:40:00 AM,1281035,72.14,72.14
471523,AlbroPlaceAirportWay,"(47.547426, -122.314114)",04/24/2014 10:05:00 PM,560234,58.54,49.4
16862964,JoseRizalBridgeNorth,"(47.59653, -122.317301)",07/15/2016 11:20:00 PM,1779022,80.1,66.22
